Frame,Ball,x,y
0,1,0.449,0.407
1,1,0.468,0.381
2,1,0.474,0.362
3,1,0.474,0.361
4,1,0.483,0.346
5,1,0.489,0.328
6,1,0.497,0.322
7,1,0.499,0.317
8,1,0.504,0.311
9,1,0.504,0.311
10,1,0.506,0.311
11,1,0.509,0.304
12,1,0.511,0.307
13,1,0.512,0.287
14,1,0.512,0.258
15,1,0.512,0.258
16,1,0.512,0.24
17,1,0.512,0.221
18,2,0.0,0.0
19,1,0.512,0.192
20,1,0.515,0.181
21,1,0.515,0.181
22,1,0.512,0.172
23,1,0.512,0.165
24,1,0.509,0.179
25,1,0.505,0.182
26,1,0.503,0.194
27,1,0.505,0.192
28,2,0.0,0.0
29,1,0.499,0.215
30,1,0.494,0.229
31,1,0.491,0.243
32,1,0.489,0.256
33,1,0.489,0.258
34,1,0.487,0.275
35,1,0.484,0.29
36,1,0.481,0.314
37,1,0.478,0.335
38,1,0.477,0.335
39,1,0.476,0.331
40,1,0.475,0.329
41,1,0.471,0.331
42,1,0.47,0.335
43,2,0.0,0.0
44,1,0.465,0.343
45,1,0.463,0.342
46,1,0.462,0.349
