Frame,Ball,x,y
0,1,0.47,0.564
1,1,0.468,0.536
2,1,0.466,0.512
3,1,0.466,0.49
4,1,0.466,0.469
5,1,0.466,0.451
6,1,0.464,0.436
7,1,0.464,0.421
8,1,0.464,0.408
9,1,0.463,0.397
10,1,0.463,0.388
11,1,0.463,0.381
12,1,0.462,0.372
13,1,0.461,0.369
14,1,0.461,0.368
15,1,0.46,0.365
16,1,0.46,0.368
17,1,0.46,0.368
18,1,0.459,0.372
19,1,0.459,0.381
20,1,0.458,0.386
21,1,0.457,0.397
22,1,0.457,0.407
23,1,0.456,0.419
24,2,0.0,0.0
25,1,0.515,0.367
26,1,0.534,0.35
27,2,0.0,0.0
28,1,0.565,0.328
29,1,0.574,0.319
30,1,0.584,0.317
31,1,0.589,0.312
32,2,0.0,0.0
33,1,0.602,0.292
34,1,0.607,0.264
35,2,0.0,0.0
36,1,0.613,0.222
37,2,0.0,0.0
38,1,0.618,0.19
39,1,0.62,0.175
40,1,0.613,0.178
41,1,0.608,0.179
42,1,0.602,0.181
43,1,0.598,0.183
44,1,0.593,0.188
45,1,0.585,0.19
46,1,0.582,0.194
47,1,0.576,0.204
48,2,0.0,0.0
49,1,0.565,0.217
50,1,0.558,0.225
51,1,0.553,0.236
52,2,0.0,0.0
53,1,0.54,0.253
54,1,0.536,0.265
55,1,0.53,0.285
56,1,0.522,0.297
57,1,0.516,0.311
58,1,0.51,0.328
59,2,0.0,0.0
60,1,0.497,0.368
61,1,0.491,0.386
62,1,0.485,0.41
63,1,0.478,0.436
64,1,0.471,0.464
65,1,0.464,0.49
66,1,0.455,0.521
67,1,0.449,0.55
68,1,0.443,0.583
69,1,0.437,0.597
70,1,0.433,0.596
71,1,0.427,0.594
72,1,0.421,0.596
73,1,0.416,0.6
74,1,0.412,0.604
75,1,0.405,0.613
76,1,0.4,0.624
77,1,0.394,0.631
78,1,0.39,0.643
79,1,0.388,0.613
80,1,0.39,0.54
81,1,0.391,0.481
82,1,0.391,0.431
83,1,0.391,0.393
84,1,0.392,0.358
85,2,0.0,0.0
86,1,0.392,0.312
87,1,0.391,0.294
88,1,0.391,0.278
89,1,0.392,0.264
90,1,0.391,0.256
91,1,0.391,0.256
92,1,0.391,0.249
93,1,0.388,0.247
94,1,0.388,0.251
95,1,0.388,0.256
96,1,0.386,0.256
97,2,0.0,0.0
98,1,0.386,0.219
99,1,0.384,0.204
100,1,0.384,0.19
101,1,0.384,0.178
102,1,0.384,0.171
103,1,0.384,0.161
104,1,0.384,0.156
105,1,0.384,0.146
106,1,0.384,0.143
107,1,0.383,0.14
