Frame,Ball,x,y
0,1,0.527,0.55
1,1,0.531,0.551
2,1,0.535,0.557
3,1,0.539,0.564
4,1,0.544,0.571
5,1,0.55,0.582
6,1,0.556,0.593
7,1,0.562,0.606
8,1,0.568,0.621
9,1,0.574,0.635
10,1,0.564,0.601
11,1,0.552,0.56
12,1,0.541,0.526
13,1,0.532,0.496
14,1,0.523,0.468
15,1,0.513,0.446
16,1,0.505,0.424
17,2,0.0,0.0
18,1,0.491,0.39
19,1,0.486,0.374
20,2,0.0,0.0
21,1,0.473,0.351
22,1,0.467,0.34
23,1,0.462,0.332
24,1,0.456,0.325
25,1,0.451,0.319
26,1,0.447,0.315
27,1,0.443,0.311
28,2,0.0,0.0
29,2,0.0,0.0
30,1,0.43,0.303
31,1,0.427,0.286
32,1,0.423,0.269
33,1,0.421,0.257
34,1,0.417,0.242
35,1,0.414,0.231
36,1,0.412,0.219
37,1,0.409,0.212
38,1,0.406,0.201
39,1,0.404,0.194
40,1,0.402,0.188
41,1,0.398,0.186
42,1,0.398,0.183
43,1,0.397,0.186
44,1,0.396,0.188
45,1,0.396,0.192
46,1,0.397,0.199
47,2,0.0,0.0
48,1,0.396,0.21
49,1,0.397,0.219
50,2,0.0,0.0
51,1,0.396,0.239
52,1,0.397,0.249
53,1,0.397,0.264
54,1,0.397,0.275
55,1,0.397,0.292
56,2,0.0,0.0
57,1,0.397,0.326
58,1,0.398,0.347
59,1,0.398,0.369
60,1,0.398,0.39
61,1,0.398,0.412
62,1,0.399,0.439
63,1,0.4,0.463
64,1,0.401,0.492
65,1,0.401,0.521
66,1,0.402,0.553
67,1,0.402,0.583
68,1,0.403,0.617
69,1,0.404,0.619
70,1,0.405,0.619
71,1,0.405,0.622
72,1,0.407,0.626
73,1,0.409,0.631
74,1,0.409,0.635
75,1,0.411,0.643
76,1,0.412,0.651
77,1,0.413,0.661
78,1,0.416,0.672
79,1,0.416,0.685
80,1,0.419,0.704
81,1,0.42,0.715
82,1,0.421,0.733
83,1,0.422,0.669
84,1,0.422,0.619
85,1,0.422,0.575
86,1,0.422,0.533
87,1,0.422,0.497
88,1,0.421,0.464
89,1,0.422,0.436
90,1,0.422,0.412
91,1,0.422,0.392
92,1,0.422,0.372
93,2,0.0,0.0
94,1,0.422,0.343
95,1,0.421,0.329
96,1,0.421,0.318
97,2,0.0,0.0
98,1,0.42,0.3
99,1,0.42,0.292
100,1,0.42,0.287
101,1,0.42,0.283
102,1,0.42,0.281
103,1,0.42,0.278
104,1,0.419,0.276
105,1,0.419,0.276
106,1,0.418,0.265
107,1,0.417,0.253
108,1,0.417,0.237
109,2,0.0,0.0
110,1,0.415,0.207
111,1,0.414,0.2
112,1,0.416,0.194
113,1,0.414,0.186
114,1,0.414,0.179
115,1,0.413,0.172
116,1,0.412,0.168
117,1,0.412,0.165
118,1,0.412,0.16
119,1,0.412,0.158
120,1,0.415,0.16
121,1,0.416,0.163
122,1,0.42,0.167
123,1,0.422,0.171
124,1,0.424,0.175
125,2,0.0,0.0
126,1,0.429,0.19
127,1,0.431,0.199
128,1,0.435,0.21
129,1,0.438,0.218
130,1,0.441,0.231
131,1,0.445,0.244
132,1,0.448,0.257
133,1,0.45,0.272
134,1,0.454,0.289
135,2,0.0,0.0
136,1,0.462,0.326
137,1,0.466,0.347
138,1,0.47,0.371
139,1,0.473,0.396
140,1,0.479,0.419
141,1,0.481,0.444
142,1,0.487,0.475
143,1,0.49,0.501
144,1,0.495,0.531
145,2,0.0,0.0
146,1,0.505,0.597
147,1,0.508,0.597
148,1,0.512,0.596
149,1,0.516,0.597
150,1,0.52,0.6
151,1,0.523,0.603
152,1,0.527,0.608
153,1,0.531,0.611
154,1,0.535,0.618
155,1,0.541,0.629
156,1,0.544,0.637
157,1,0.55,0.65
158,1,0.554,0.662
159,1,0.558,0.676
160,1,0.563,0.693
161,1,0.57,0.71
162,1,0.573,0.728
163,1,0.57,0.715
164,1,0.554,0.668
165,1,0.539,0.615
166,1,0.526,0.578
167,1,0.512,0.54
168,1,0.502,0.508
169,1,0.492,0.482
170,1,0.483,0.457
171,1,0.473,0.435
172,1,0.465,0.418
173,1,0.459,0.401
174,1,0.451,0.389
175,1,0.443,0.376
176,1,0.439,0.368
177,2,0.0,0.0
178,1,0.428,0.35
179,1,0.424,0.336
180,1,0.42,0.324
181,1,0.418,0.312
182,1,0.415,0.303
183,1,0.412,0.294
184,1,0.409,0.289
185,1,0.406,0.282
186,1,0.403,0.279
187,1,0.402,0.275
188,1,0.398,0.272
189,1,0.396,0.269
190,1,0.394,0.268
191,1,0.391,0.268
192,1,0.39,0.271
193,1,0.387,0.272
194,1,0.385,0.275
195,1,0.384,0.278
196,1,0.382,0.282
197,1,0.38,0.278
198,1,0.377,0.265
199,1,0.375,0.251
200,1,0.373,0.243
201,1,0.37,0.232
202,1,0.368,0.222
203,1,0.366,0.215
204,1,0.364,0.207
205,1,0.362,0.2
206,1,0.36,0.196
207,1,0.358,0.19
208,1,0.357,0.186
209,1,0.356,0.182
210,1,0.354,0.181
211,1,0.352,0.179
212,1,0.351,0.179
213,1,0.349,0.179
214,1,0.349,0.181
215,1,0.348,0.185
216,1,0.348,0.19
217,1,0.348,0.196
218,1,0.348,0.203
219,1,0.348,0.211
220,1,0.348,0.221
221,1,0.348,0.233
222,1,0.348,0.244
223,1,0.347,0.258
224,1,0.347,0.276
225,1,0.347,0.292
226,1,0.347,0.308
227,2,0.0,0.0
228,1,0.347,0.349
229,1,0.347,0.375
230,1,0.346,0.4
231,1,0.346,0.426
232,1,0.346,0.457
233,1,0.347,0.486
234,1,0.346,0.515
235,1,0.346,0.551
236,1,0.346,0.583
237,1,0.346,0.626
238,1,0.346,0.66
239,1,0.345,0.662
240,1,0.345,0.662
241,1,0.345,0.665
242,1,0.343,0.671
243,1,0.344,0.676
244,1,0.343,0.682
245,1,0.343,0.692
246,1,0.342,0.703
247,1,0.342,0.715
248,1,0.342,0.729
249,1,0.342,0.742
250,1,0.342,0.758
251,1,0.356,0.701
252,1,0.37,0.636
253,1,0.384,0.581
254,1,0.395,0.537
255,1,0.406,0.496
256,1,0.416,0.461
257,1,0.426,0.425
258,1,0.434,0.397
259,1,0.441,0.371
260,1,0.448,0.349
261,1,0.455,0.328
262,1,0.461,0.307
263,1,0.467,0.293
264,1,0.473,0.279
265,1,0.477,0.267
266,1,0.482,0.256
267,1,0.487,0.243
268,1,0.491,0.236
269,1,0.495,0.231
270,1,0.499,0.224
271,1,0.503,0.219
272,1,0.507,0.217
273,1,0.509,0.212
274,1,0.514,0.211
275,1,0.517,0.208
276,1,0.52,0.208
277,1,0.522,0.21
278,1,0.524,0.21
279,1,0.527,0.21
280,1,0.53,0.214
281,1,0.532,0.218
282,1,0.533,0.217
283,1,0.536,0.204
284,2,0.0,0.0
285,1,0.538,0.179
286,2,0.0,0.0
287,1,0.534,0.171
288,1,0.528,0.171
289,1,0.524,0.174
290,1,0.52,0.174
291,1,0.516,0.179
292,1,0.511,0.185
293,2,0.0,0.0
294,1,0.502,0.192
295,1,0.497,0.199
296,1,0.493,0.206
297,1,0.487,0.214
298,1,0.481,0.225
299,1,0.477,0.235
300,1,0.472,0.244
301,1,0.465,0.258
302,1,0.461,0.271
303,1,0.455,0.285
304,1,0.449,0.301
305,1,0.443,0.318
306,1,0.438,0.338
307,1,0.431,0.354
308,1,0.426,0.378
309,1,0.42,0.397
310,1,0.412,0.424
311,1,0.408,0.444
312,1,0.401,0.471
313,1,0.394,0.499
314,1,0.388,0.522
315,1,0.385,0.526
