Frame,Ball,x,y
0,1,0.409,0.031
1,1,0.412,0.014
2,0,0.0,0.0
3,0,0.0,0.0
4,0,0.0,0.0
5,0,0.0,0.0
6,0,0.0,0.0
7,0,0.0,0.0
8,0,0.0,0.0
9,0,0.0,0.0
10,0,0.0,0.0
11,0,0.0,0.0
12,0,0.0,0.0
13,0,0.0,0.0
14,0,0.0,0.0
15,0,0.0,0.0
16,0,0.0,0.0
17,0,0.0,0.0
18,0,0.0,0.0
19,0,0.0,0.0
20,0,0.0,0.0
21,0,0.0,0.0
22,1,0.487,0.044
23,1,0.506,0.1
24,1,0.524,0.15
25,1,0.548,0.207
26,1,0.568,0.265
27,1,0.589,0.333
28,1,0.616,0.4
29,1,0.638,0.467
30,1,0.665,0.533
31,1,0.684,0.539
32,1,0.704,0.539
33,1,0.728,0.551
34,1,0.752,0.562
35,1,0.773,0.569
36,1,0.798,0.59
37,1,0.825,0.608
38,1,0.855,0.636
39,1,0.838,0.608
40,1,0.776,0.514
41,1,0.738,0.458
42,1,0.707,0.411
43,1,0.678,0.372
44,1,0.654,0.344
45,1,0.629,0.317
46,1,0.61,0.296
47,1,0.592,0.274
48,1,0.577,0.261
49,1,0.561,0.246
50,1,0.548,0.24
51,1,0.536,0.233
52,1,0.523,0.232
53,1,0.512,0.215
54,1,0.506,0.185
55,1,0.498,0.164
56,1,0.491,0.143
57,1,0.495,0.135
58,1,0.504,0.128
59,1,0.509,0.119
60,1,0.517,0.117
61,1,0.525,0.11
62,1,0.531,0.108
63,1,0.539,0.107
64,1,0.545,0.103
65,1,0.555,0.101
66,1,0.563,0.107
67,1,0.571,0.108
68,1,0.58,0.113
69,1,0.588,0.118
70,1,0.596,0.124
71,1,0.606,0.132
72,1,0.616,0.142
73,1,0.622,0.149
74,1,0.631,0.16
75,1,0.642,0.175
76,1,0.652,0.188
77,2,0.0,0.0
78,1,0.672,0.225
79,1,0.68,0.242
80,1,0.691,0.263
81,1,0.7,0.282
82,1,0.721,0.333
83,1,0.722,0.335
84,1,0.733,0.358
85,1,0.742,0.394
86,1,0.752,0.417
87,1,0.762,0.451
88,1,0.774,0.486
89,1,0.784,0.522
90,1,0.796,0.554
91,1,0.805,0.56
92,1,0.809,0.544
93,1,0.818,0.535
94,1,0.823,0.522
95,1,0.83,0.518
96,1,0.838,0.514
97,1,0.845,0.511
98,1,0.853,0.511
99,1,0.858,0.51
100,1,0.866,0.514
101,1,0.873,0.518
102,1,0.88,0.524
103,1,0.884,0.533
104,1,0.894,0.544
