Frame,Ball,x,y
0,1,0.491,0.101
1,1,0.468,0.144
2,1,0.445,0.2
3,1,0.427,0.242
4,1,0.403,0.296
5,1,0.384,0.354
6,1,0.359,0.415
7,1,0.34,0.478
8,1,0.316,0.546
9,1,0.298,0.567
10,1,0.279,0.572
11,1,0.261,0.578
12,1,0.243,0.588
13,1,0.224,0.601
14,1,0.204,0.617
15,1,0.184,0.64
16,1,0.163,0.665
17,1,0.155,0.665
18,1,0.175,0.604
19,1,0.194,0.553
20,1,0.212,0.5
21,2,0.0,0.0
22,1,0.247,0.41
23,1,0.263,0.371
24,1,0.277,0.336
25,1,0.291,0.301
26,1,0.304,0.269
27,1,0.317,0.242
28,1,0.329,0.214
29,1,0.341,0.19
30,1,0.352,0.168
31,1,0.363,0.15
32,1,0.373,0.132
33,1,0.384,0.114
34,1,0.393,0.1
35,1,0.402,0.092
36,1,0.41,0.079
37,1,0.42,0.069
38,1,0.429,0.058
39,1,0.436,0.054
40,1,0.445,0.049
41,1,0.452,0.046
42,1,0.46,0.043
43,1,0.466,0.043
44,1,0.474,0.04
45,1,0.481,0.04
46,1,0.487,0.044
47,2,0.0,0.0
48,1,0.499,0.051
49,1,0.503,0.054
50,2,0.0,0.0
51,1,0.517,0.068
52,1,0.522,0.075
53,1,0.527,0.085
54,1,0.533,0.092
55,1,0.538,0.101
56,1,0.544,0.113
57,1,0.548,0.125
58,1,0.552,0.133
59,1,0.557,0.146
60,1,0.562,0.16
61,1,0.566,0.175
62,1,0.571,0.189
63,1,0.574,0.201
64,1,0.577,0.208
65,1,0.58,0.19
66,1,0.581,0.176
67,1,0.584,0.161
68,1,0.584,0.15
69,1,0.588,0.142
70,1,0.588,0.132
71,1,0.589,0.125
72,1,0.591,0.117
73,1,0.592,0.113
74,1,0.596,0.107
75,1,0.598,0.101
76,1,0.598,0.103
77,1,0.6,0.099
78,1,0.602,0.099
79,1,0.602,0.1
80,1,0.603,0.104
81,1,0.605,0.107
82,1,0.607,0.11
83,1,0.607,0.115
84,1,0.609,0.124
85,1,0.61,0.128
86,1,0.615,0.136
87,1,0.618,0.156
88,1,0.622,0.171
89,1,0.625,0.188
90,1,0.628,0.211
