Frame,Ball,x,y
0,1,0.63,0.59
1,1,0.637,0.572
2,1,0.644,0.55
3,1,0.648,0.518
4,1,0.652,0.486
5,1,0.651,0.453
6,1,0.651,0.419
7,1,0.648,0.39
8,1,0.649,0.367
9,1,0.648,0.342
10,1,0.647,0.318
11,1,0.647,0.294
12,1,0.644,0.278
13,1,0.643,0.261
14,1,0.643,0.247
15,1,0.642,0.236
16,1,0.64,0.228
17,1,0.64,0.221
18,1,0.638,0.215
19,1,0.637,0.212
20,1,0.636,0.214
21,1,0.635,0.217
22,1,0.634,0.222
23,1,0.634,0.228
24,1,0.631,0.239
25,1,0.63,0.247
26,1,0.629,0.261
27,1,0.608,0.261
28,1,0.566,0.242
29,2,0.0,0.0
30,1,0.505,0.219
31,1,0.484,0.212
32,1,0.465,0.21
33,1,0.45,0.21
34,1,0.437,0.208
35,1,0.424,0.21
36,1,0.412,0.214
37,1,0.404,0.215
38,1,0.395,0.224
39,1,0.388,0.212
40,1,0.382,0.194
41,1,0.376,0.178
42,1,0.37,0.163
43,1,0.364,0.15
44,1,0.359,0.14
45,1,0.356,0.132
46,1,0.35,0.125
47,1,0.346,0.117
48,1,0.342,0.113
49,1,0.339,0.11
50,1,0.342,0.103
51,1,0.344,0.1
52,1,0.346,0.097
53,1,0.349,0.092
54,1,0.352,0.087
55,1,0.354,0.083
56,1,0.355,0.083
57,1,0.36,0.083
58,1,0.362,0.082
59,1,0.366,0.082
60,1,0.37,0.081
61,1,0.371,0.081
62,1,0.376,0.083
63,1,0.38,0.086
64,1,0.383,0.093
65,1,0.388,0.097
66,1,0.391,0.107
67,1,0.397,0.111
68,1,0.402,0.119
69,1,0.407,0.129
70,1,0.412,0.143
71,1,0.418,0.153
72,1,0.423,0.172
73,1,0.429,0.188
74,1,0.436,0.206
75,1,0.443,0.224
76,1,0.449,0.247
77,1,0.456,0.271
78,1,0.466,0.297
79,1,0.473,0.331
80,1,0.484,0.358
81,1,0.493,0.394
82,1,0.503,0.432
83,1,0.513,0.472
84,1,0.519,0.475
85,1,0.528,0.471
86,3,0.0,0.0
87,3,0.0,0.0
88,1,0.549,0.464
89,1,0.557,0.461
90,1,0.566,0.465
91,1,0.574,0.468
92,1,0.584,0.479
93,1,0.595,0.485
94,1,0.594,0.472
95,1,0.566,0.406
96,1,0.545,0.351
97,1,0.528,0.311
98,1,0.512,0.278
99,1,0.5,0.253
100,1,0.488,0.232
101,1,0.48,0.225
102,1,0.472,0.21
103,1,0.463,0.2
104,1,0.458,0.194
105,1,0.452,0.192
106,1,0.445,0.189
107,1,0.442,0.19
108,1,0.438,0.193
109,1,0.434,0.194
110,1,0.43,0.196
111,1,0.427,0.185
112,1,0.424,0.172
113,1,0.422,0.156
114,1,0.419,0.146
115,1,0.419,0.135
116,1,0.415,0.128
117,1,0.412,0.119
118,1,0.412,0.117
119,1,0.41,0.113
120,1,0.408,0.11
121,1,0.407,0.107
122,1,0.404,0.107
123,1,0.404,0.108
124,1,0.402,0.104
125,1,0.401,0.107
126,1,0.4,0.103
127,1,0.402,0.103
128,1,0.402,0.104
129,1,0.402,0.107
130,1,0.402,0.108
131,1,0.403,0.115
132,1,0.403,0.119
133,1,0.403,0.126
134,1,0.403,0.133
135,1,0.404,0.149
136,1,0.404,0.161
137,1,0.407,0.175
138,1,0.407,0.192
139,1,0.409,0.211
140,1,0.409,0.221
141,1,0.409,0.211
142,1,0.411,0.201
143,1,0.412,0.193
144,1,0.412,0.188
145,1,0.415,0.181
146,1,0.415,0.178
147,1,0.416,0.174
148,1,0.418,0.168
149,1,0.419,0.168
150,1,0.42,0.171
151,1,0.419,0.171
152,1,0.424,0.176
153,1,0.422,0.176
154,1,0.426,0.182
155,1,0.427,0.188
156,1,0.428,0.196
157,1,0.429,0.208
158,1,0.431,0.215
159,2,0.0,0.0
160,1,0.433,0.24
161,1,0.436,0.256
162,1,0.438,0.272
163,1,0.438,0.289
164,1,0.44,0.308
165,1,0.443,0.331
166,1,0.444,0.351
167,1,0.448,0.376
168,1,0.448,0.376
169,1,0.448,0.367
170,1,0.449,0.357
171,1,0.452,0.35
172,1,0.454,0.343
173,1,0.455,0.336
174,1,0.459,0.331
175,1,0.459,0.329
176,1,0.461,0.328
177,1,0.463,0.326
178,1,0.466,0.329
179,1,0.47,0.335
180,1,0.471,0.339
181,1,0.473,0.343
182,1,0.477,0.351
183,1,0.478,0.362
184,1,0.473,0.338
185,1,0.466,0.306
186,1,0.461,0.275
187,1,0.455,0.256
188,1,0.452,0.239
189,1,0.448,0.222
190,1,0.445,0.211
191,1,0.442,0.201
192,1,0.438,0.196
193,1,0.436,0.194
194,1,0.434,0.189
195,1,0.431,0.189
196,1,0.427,0.189
197,1,0.426,0.19
198,1,0.425,0.19
199,1,0.422,0.193
200,1,0.42,0.182
201,1,0.42,0.168
202,1,0.419,0.157
203,1,0.417,0.153
204,1,0.416,0.139
205,1,0.415,0.136
206,1,0.413,0.132
207,1,0.413,0.126
208,1,0.412,0.125
209,1,0.412,0.124
210,1,0.409,0.124
211,1,0.41,0.124
212,1,0.409,0.124
213,1,0.409,0.125
214,1,0.409,0.126
215,2,0.0,0.0
216,2,0.0,0.0
217,1,0.407,0.119
218,1,0.405,0.114
219,1,0.407,0.11
220,1,0.405,0.107
