Frame,Ball,x,y
0,1,0.38,0.233
1,1,0.377,0.206
2,1,0.375,0.178
3,1,0.374,0.157
4,1,0.373,0.136
5,1,0.373,0.118
6,1,0.372,0.103
7,1,0.371,0.092
8,1,0.37,0.082
9,1,0.37,0.076
10,1,0.368,0.069
11,1,0.367,0.069
12,1,0.367,0.069
13,1,0.366,0.069
14,1,0.367,0.079
15,1,0.367,0.086
16,1,0.366,0.099
17,1,0.367,0.113
18,1,0.366,0.129
19,1,0.366,0.147
20,1,0.366,0.172
21,1,0.38,0.183
22,1,0.416,0.182
23,1,0.442,0.183
24,1,0.463,0.185
25,1,0.477,0.19
26,1,0.488,0.197
27,1,0.498,0.204
28,1,0.504,0.211
29,1,0.509,0.219
30,1,0.516,0.226
31,1,0.518,0.236
32,2,0.0,0.0
33,2,0.0,0.0
34,1,0.527,0.221
35,2,0.0,0.0
36,2,0.0,0.0
37,1,0.531,0.182
38,1,0.534,0.172
39,1,0.535,0.164
40,1,0.537,0.157
41,2,0.0,0.0
42,2,0.0,0.0
43,1,0.539,0.144
44,1,0.542,0.143
45,1,0.541,0.142
46,1,0.544,0.143
47,1,0.543,0.144
48,1,0.545,0.144
49,1,0.543,0.143
50,1,0.54,0.136
51,1,0.537,0.136
52,1,0.536,0.136
53,1,0.53,0.131
54,1,0.527,0.133
55,1,0.522,0.135
56,1,0.52,0.135
57,1,0.516,0.142
58,1,0.512,0.144
59,1,0.507,0.149
60,1,0.502,0.158
61,1,0.495,0.164
62,1,0.491,0.175
63,1,0.486,0.185
64,1,0.48,0.2
65,1,0.472,0.217
66,1,0.466,0.239
67,1,0.458,0.258
68,1,0.45,0.285
69,1,0.442,0.311
70,1,0.433,0.342
71,1,0.424,0.381
72,1,0.416,0.371
73,1,0.41,0.367
74,1,0.402,0.357
75,1,0.395,0.351
76,1,0.391,0.353
77,1,0.382,0.349
78,1,0.374,0.35
79,1,0.366,0.351
80,1,0.358,0.357
81,1,0.35,0.367
82,1,0.34,0.381
83,1,0.33,0.393
84,1,0.32,0.408
85,1,0.312,0.432
86,1,0.301,0.454
87,1,0.289,0.482
88,1,0.315,0.454
89,1,0.358,0.386
90,1,0.395,0.336
91,1,0.425,0.296
92,1,0.45,0.269
93,1,0.472,0.244
94,1,0.489,0.228
95,1,0.505,0.214
96,1,0.519,0.206
97,1,0.53,0.199
98,1,0.541,0.196
99,1,0.548,0.193
100,1,0.556,0.192
101,1,0.564,0.196
102,1,0.57,0.197
103,1,0.576,0.2
104,1,0.58,0.201
105,1,0.588,0.208
106,1,0.591,0.212
107,1,0.594,0.219
108,1,0.598,0.217
109,1,0.6,0.204
110,1,0.602,0.194
111,1,0.604,0.185
112,1,0.608,0.176
113,1,0.609,0.171
114,1,0.611,0.163
115,1,0.613,0.16
116,1,0.616,0.157
117,1,0.617,0.153
118,1,0.617,0.156
119,1,0.617,0.146
120,1,0.613,0.139
121,1,0.611,0.129
122,2,0.0,0.0
123,1,0.602,0.115
124,1,0.597,0.11
125,1,0.594,0.103
126,1,0.59,0.099
127,1,0.584,0.094
128,1,0.58,0.093
129,1,0.574,0.092
130,1,0.568,0.092
131,1,0.562,0.093
132,1,0.556,0.096
133,1,0.549,0.1
134,1,0.542,0.104
135,1,0.534,0.115
136,1,0.527,0.124
137,1,0.517,0.136
138,1,0.508,0.151
139,1,0.498,0.172
140,1,0.486,0.193
141,1,0.474,0.215
142,1,0.461,0.251
143,1,0.449,0.281
144,1,0.434,0.322
145,1,0.417,0.368
146,1,0.401,0.425
147,1,0.381,0.483
148,1,0.362,0.553
149,1,0.344,0.601
150,1,0.327,0.586
151,1,0.31,0.575
152,1,0.29,0.564
153,1,0.27,0.554
154,1,0.248,0.547
155,1,0.222,0.55
156,1,0.216,0.519
157,1,0.245,0.425
158,1,0.27,0.357
159,1,0.289,0.307
160,1,0.304,0.272
161,1,0.318,0.244
162,1,0.329,0.225
163,1,0.338,0.21
164,1,0.347,0.197
165,1,0.355,0.19
166,1,0.362,0.188
167,1,0.367,0.185
168,1,0.372,0.183
169,1,0.377,0.183
170,1,0.382,0.189
171,1,0.384,0.193
172,1,0.39,0.194
173,1,0.391,0.199
174,1,0.397,0.207
175,2,0.0,0.0
176,1,0.399,0.222
177,1,0.403,0.231
178,2,0.0,0.0
179,3,0.0,0.0
180,1,0.408,0.221
181,1,0.409,0.204
182,1,0.409,0.194
183,1,0.409,0.181
184,1,0.411,0.174
185,1,0.411,0.167
186,1,0.411,0.16
187,1,0.412,0.153
188,1,0.412,0.149
189,1,0.415,0.143
190,1,0.415,0.144
191,1,0.416,0.14
192,1,0.416,0.14
193,1,0.416,0.139
194,1,0.418,0.136
195,1,0.418,0.136
196,1,0.418,0.139
197,1,0.419,0.139
198,1,0.418,0.139
199,1,0.446,0.143
200,1,0.452,0.144
201,1,0.459,0.149
202,1,0.468,0.156
203,1,0.474,0.163
204,1,0.484,0.172
205,1,0.493,0.185
206,1,0.503,0.199
207,1,0.513,0.212
208,1,0.526,0.236
209,1,0.538,0.258
210,1,0.552,0.287
211,1,0.566,0.317
212,1,0.584,0.351
213,1,0.6,0.392
214,1,0.62,0.439
215,1,0.637,0.478
216,1,0.654,0.468
217,1,0.67,0.465
218,1,0.685,0.465
219,1,0.703,0.464
220,1,0.723,0.471
221,1,0.745,0.474
222,1,0.765,0.485
223,3,0.0,0.0
224,1,0.812,0.518
225,1,0.838,0.547
226,1,0.852,0.551
227,3,0.0,0.0
228,2,0.0,0.0
229,1,0.738,0.303
230,1,0.714,0.258
231,1,0.691,0.217
232,1,0.674,0.193
