Frame,Ball,x,y
0,1,0.613,0.447
1,1,0.613,0.431
2,1,0.61,0.41
3,1,0.608,0.399
4,1,0.607,0.382
5,1,0.606,0.371
6,1,0.604,0.365
7,1,0.602,0.354
8,1,0.599,0.35
9,1,0.598,0.344
10,1,0.596,0.343
11,1,0.596,0.342
12,1,0.593,0.343
13,1,0.591,0.349
14,1,0.589,0.351
15,1,0.588,0.357
16,1,0.585,0.367
17,1,0.584,0.375
18,1,0.581,0.389
19,1,0.58,0.404
20,1,0.578,0.419
21,1,0.576,0.432
22,1,0.573,0.457
23,1,0.537,0.425
24,1,0.501,0.392
25,1,0.472,0.367
26,1,0.445,0.344
27,2,0.0,0.0
28,1,0.398,0.314
29,1,0.38,0.306
30,1,0.361,0.297
31,1,0.345,0.292
32,1,0.334,0.281
33,1,0.321,0.236
34,1,0.31,0.204
35,1,0.3,0.172
36,1,0.287,0.147
37,1,0.28,0.125
38,1,0.27,0.108
39,1,0.263,0.086
40,1,0.252,0.071
41,1,0.245,0.061
42,1,0.237,0.049
43,1,0.23,0.04
44,1,0.223,0.037
